Pv_GeneID	Pk_GeneID	distance	dtw	outcome
1	PVP01_0102600	PKNH_0100600	0.06	49.9732675026916	sim
2	PVP01_0102700	PKNH_0100700	0.06	47.8140724593888	sim
3	PVP01_0102800	PKNH_0100800	0.185	113.843723685857	sim
4	PVP01_0103100	PKNH_0101100	0.19	60.2130721432458	sim
5	PVP01_0103200	PKNH_0101200	0.24	100.856838466332	sim
6	PVP01_0103400	PKNH_0101400	0.24	299.722388278679	dissim
7	PVP01_0103600	PKNH_0101600	0.39	387.747180016308	dissim
8	PVP01_0103700	PKNH_0101700	0.14	27.826765313136	sim
9	PVP01_0103800	PKNH_0101800	0.14	27.4163687432454	sim
10	PVP01_0103900	PKNH_0101900	0	71.9586774209405	sim
11	PVP01_0104000	PKNH_0102000	0.11	58.3061796189835	sim
12	PVP01_0104100	PKNH_0102100	0.365	138.783298828394	dissim
13	PVP01_0104200	PKNH_0102200	0.485	264.735140964471	dissim
14	PVP01_0104300	PKNH_0102300	0.135	26.8458293655161	sim
15	PVP01_0104400	PKNH_0102400	0.19	44.7359238128798	sim
16	PVP01_0104500	PKNH_0102500	0.01	32.0586216735335	sim
17	PVP01_0104700	PKNH_0103000	0.01	27.1427433431489	sim
18	PVP01_0104900	PKNH_0103200	0.485	278.70927213379	dissim
19	PVP01_0105000	PKNH_0103300	0.14	11.5187554108017	sim
20	PVP01_0105100	PKNH_0103400	0.02	32.9781930278295	sim
21	PVP01_0105200	PKNH_0103500	0.385	179.859051831954	dissim
22	PVP01_0105300	PKNH_0103600	0.14	19.6319138536696	sim
23	PVP01_0105400	PKNH_0103700	0.14	50.6975840206616	sim
24	PVP01_0105500	PKNH_0103800	0.115	20.5508240378722	sim
25	PVP01_0105600	PKNH_0103900	0.115	27.3949061078499	sim
26	PVP01_0105800	PKNH_0104100	0.14	35.5821495267403	sim
27	PVP01_0106000	PKNH_0104300	0.11	122.849880739126	sim
28	PVP01_0106100	PKNH_0104400	0.02	59.8572737583848	sim
29	PVP01_0106200	PKNH_0104500	0.365	115.380200477918	sim
30	PVP01_0106300	PKNH_0104600	0.24	108.069192171313	sim
31	PVP01_0106400	PKNH_0104700	0.39	272.739271198236	dissim
32	PVP01_0106500	PKNH_0104800	0.19	161.022853348078	dissim
33	PVP01_0106600	PKNH_0104900	0.06	7.3617552869905	sim
