Pv_GeneID	Pk_GeneID
PVP01_0102600	PKNH_0100600
PVP01_0102700	PKNH_0100700
PVP01_0102800	PKNH_0100800
PVP01_0103100	PKNH_0101100
PVP01_0103200	PKNH_0101200
PVP01_0103300	PKNH_0101300
PVP01_0103400	PKNH_0101400
PVP01_0103500	PKNH_0101500
PVP01_0103600	PKNH_0101600
PVP01_0103700	PKNH_0101700
PVP01_0103800	PKNH_0101800
PVP01_0103900	PKNH_0101900
PVP01_0104000	PKNH_0102000
PVP01_0104100	PKNH_0102100
PVP01_0104200	PKNH_0102200
PVP01_0104300	PKNH_0102300
PVP01_0104400	PKNH_0102400
PVP01_0104500	PKNH_0102500
PVP01_0104600	PKNH_0102600
PVP01_0104700	PKNH_0103000
PVP01_0104800	PKNH_0103100
PVP01_0104900	PKNH_0103200
PVP01_0105000	PKNH_0103300
PVP01_0105100	PKNH_0103400
PVP01_0105200	PKNH_0103500
PVP01_0105300	PKNH_0103600
PVP01_0105400	PKNH_0103700
PVP01_0105500	PKNH_0103800
PVP01_0105600	PKNH_0103900
PVP01_0105700	PKNH_0104000
PVP01_0105800	PKNH_0104100
PVP01_0105900	PKNH_0104200
PVP01_0106000	PKNH_0104300
PVP01_0106100	PKNH_0104400
PVP01_0106200	PKNH_0104500
PVP01_0106300	PKNH_0104600
PVP01_0106400	PKNH_0104700
PVP01_0106500	PKNH_0104800
PVP01_0106600	PKNH_0104900
PVP01_0106800	PKNH_0105100
PVP01_0106900	PKNH_0105200
PVP01_0107400	PKNH_0105700
PVP01_0107500	PKNH_0105800
PVP01_0107600	PKNH_0105900
PVP01_0107700	PKNH_0106000
PVP01_0107800	PKNH_0106100
PVP01_0107900	PKNH_0106200
PVP01_0108000	PKNH_0106300
PVP01_0108100	PKNH_0106400
PVP01_0108200	PKNH_0106500
PVP01_0108300	PKNH_0106600
PVP01_0108400	PKNH_0106700
PVP01_0108500	PKNH_0106800
PVP01_0108600	PKNH_0106900
PVP01_0108700	PKNH_0107000
PVP01_0108800	PKNH_0107100
PVP01_0108900	PKNH_0107200
PVP01_0109000	PKNH_0107300
PVP01_0109100	PKNH_0107400
PVP01_0109200	PKNH_0107500
PVP01_0109300	PKNH_0107600
PVP01_0109400	PKNH_0107700
PVP01_0109500	PKNH_0107800
PVP01_0109600	PKNH_0107900
PVP01_0109700	PKNH_0108000
PVP01_0109800	PKNH_0108100
PVP01_0109900	PKNH_0108200
PVP01_0110000	PKNH_0108300
PVP01_0110100	PKNH_0108400
PVP01_0110200	PKNH_0108500
PVP01_0110300	PKNH_0108600
PVP01_0110400	PKNH_0108700
PVP01_0110500	PKNH_0108800
PVP01_0110700	PKNH_0109000
PVP01_0110900	PKNH_0109200
PVP01_0111000	PKNH_0109300
PVP01_0111100	PKNH_0109400
PVP01_0111200	PKNH_0109500
PVP01_0111300	PKNH_0109600
PVP01_0111400	PKNH_0109700
PVP01_0111500	PKNH_0109800
PVP01_0111600	PKNH_0109900
PVP01_0111700	PKNH_0110000
PVP01_0111800	PKNH_0110100
PVP01_0111900	PKNH_0110200
PVP01_0111950	PKNH_0110250
PVP01_0112000	PKNH_0110300
PVP01_0112100	PKNH_0110400
PVP01_0112200	PKNH_0110500
PVP01_0112300	PKNH_0110600
PVP01_0112400	PKNH_0110700
PVP01_0112500	PKNH_0110800
PVP01_0112600	PKNH_0110900
PVP01_0112800	PKNH_0111200
PVP01_0112900	PKNH_0111300
PVP01_0113000	PKNH_0111400
PVP01_0113100	PKNH_0111500
PVP01_0113200	PKNH_0111600
PVP01_0113300	PKNH_0111700
PVP01_0113400	PKNH_0111800
PVP01_0113500	PKNH_0111900
PVP01_0113600	PKNH_0112000
PVP01_0113700	PKNH_0112100
PVP01_0113800	PKNH_0112200
PVP01_0113900	PKNH_0112300
PVP01_0114000	PKNH_0112400
PVP01_0114100	PKNH_0112500
PVP01_0114200	PKNH_0112600
PVP01_0114300	PKNH_0112700
PVP01_0114400	PKNH_0112800
PVP01_0114500	PKNH_0112900
PVP01_0114600	PKNH_0113000
PVP01_0114700	PKNH_0113100
PVP01_0114800	PKNH_0113200
PVP01_0114900	PKNH_0113300
PVP01_0115000	PKNH_0113700
PVP01_0115100	PKNH_0113800
PVP01_0115200	PKNH_0113900
PVP01_0115300	PKNH_0114000
PVP01_0115400	PKNH_0114100
PVP01_0115500	PKNH_0114200
PVP01_0115600	PKNH_0114300
PVP01_0115700	PKNH_0114400
PVP01_0115800	PKNH_0114500
PVP01_0115900	PKNH_0114600
PVP01_0116000	PKNH_0114700
