Pf_GeneID	Pk_GeneID	distance	dtw	outcome
1	PF3D7_0102600	PKNH_0113200	0.4	390.281876731178	dissim
2	PF3D7_0102900	PKNH_0210700	0.225	12.9470636240251	sim
3	PF3D7_0103000	PKNH_0210600	0.01	28.3484801481811	sim
4	PF3D7_0103200	PKNH_0210300	0.145	28.3506043159968	sim
5	PF3D7_0103800	PKNH_0209700	0.14	26.4843197207506	sim
6	PF3D7_0104400	PKNH_0209100	0.19	59.2616951989749	sim
7	PF3D7_0104500	PKNH_0209000	0.095	18.8408449932751	sim
8	PF3D7_0104700	PKNH_0208800	0.155	74.0639219171082	sim
9	PF3D7_0104800	PKNH_0208700	0.125	59.3331217491845	sim
10	PF3D7_0105100	PKNH_0208600	0.105	59.2242851310852	sim
11	PF3D7_0105300	PKNH_0208400	0.085	52.3431291487747	sim
12	PF3D7_0105500	PKNH_0208200	0.02	31.6213275833976	sim
13	PF3D7_0105800	PKNH_0207700	0.095	13.9865682079075	sim
14	PF3D7_0106200	PKNH_0207300	0.14	10.1015730483585	sim
15	PF3D7_0106400	PKNH_0207100	0.105	38.4593736496242	sim
16	PF3D7_0106800	PKNH_0206700	0.225	17.1381471175077	sim
17	PF3D7_0107000	PKNH_0206500	0.225	11.1929700491296	sim
18	PF3D7_0107200	PKNH_0206300	0.02	40.2553733189435	sim
19	PF3D7_0107400	PKNH_0206200	0.145	82.2429475242532	sim
20	PF3D7_0107500	PKNH_0206100	0.11	89.3770872140768	sim
21	PF3D7_0107900	PKNH_0205700	0.23	59.1533263819246	sim
22	PF3D7_0108100	PKNH_0205500	0.19	59.6413283746926	sim
23	PF3D7_0108600	PKNH_0205100	0.26	82.1435206670651	sim
24	PF3D7_0108800	PKNH_0204900	0.105	58.8384547144018	sim
25	PF3D7_0109000	PKNH_0204800	0.085	105.03986539197	sim
26	PF3D7_0109100	PKNH_0204700	0.125	59.5891853198909	sim
27	PF3D7_0109200	PKNH_0204600	0.0649999999999999	34.7703325971101	sim
28	PF3D7_0109300	PKNH_0204500	0.0649999999999999	97.8508498348762	sim
29	PF3D7_0109400	PKNH_0204400	0.02	54.9781988772292	sim
30	PF3D7_0109500	PKNH_0204300	0.105	29.9527702300339	sim
31	PF3D7_0109600	PKNH_0204200	0.485	10.3707133570958	sim
32	PF3D7_0109700	PKNH_0204100	0	74.089987976493	sim
33	PF3D7_0109950	PKNH_0203850	0.27	56.7492301833375	sim
34	PF3D7_0110200	PKNH_0203600	0.105	31.7296556033934	sim
35	PF3D7_0110400	PKNH_0203500	0.435	27.7396819415387	sim
36	PF3D7_0110700	PKNH_0203200	0.025	76.8053380897952	sim
37	PF3D7_0110900	PKNH_0202600	0.19	22.4728533972138	sim
38	PF3D7_0111000	PKNH_0202500	0.26	58.4486987247817	sim
39	PF3D7_0111200	PKNH_0202400	0.145	31.062443065243	sim
40	PF3D7_0111300	PKNH_0202300	0.115	35.5006459454145	sim
41	PF3D7_0111600	PKNH_0202000	0.27	44.6000531778055	sim
42	PF3D7_0111700	PKNH_0201900	0.32	109.92439841978	dissim
43	PF3D7_0111800	PKNH_0201800	0.1	67.7831413237243	sim
44	PF3D7_0111900	PKNH_0201700	0.335	219.812012867263	dissim
45	PF3D7_0112000	PKNH_0201600	0.11	34.9341969748409	sim
46	PF3D7_0113700	PKNH_0407900	0.185	176.24427992448	dissim
47	PF3D7_0202500	PKNH_0418600	0	67.4442352301176	sim
48	PF3D7_0202700	PKNH_0418400	0.11	144.896925239575	dissim
49	PF3D7_0202800	PKNH_0418300	0.05	18.8460600926184	sim
50	PF3D7_0202900	PKNH_0418200	0.01	38.0180468279283	sim
51	PF3D7_0203300	PKNH_0417800	0.23	69.5267367383445	sim
52	PF3D7_0203400	PKNH_0417700	0.145	71.9778914813605	sim
53	PF3D7_0203800	PKNH_0417300	0.265	65.5788599053435	sim
54	PF3D7_0204400	PKNH_0416500	0.435	360.016825637562	dissim
55	PF3D7_0204500	PKNH_0416400	0.415	294.935565752977	dissim
56	PF3D7_0204900	PKNH_0416000	0.155	20.7278216641089	sim
57	PF3D7_0205200	PKNH_0415700	0.11	89.2751341384459	sim
