Pf_GeneID	Pk_GeneID
PF3D7_0102600	PKNH_0113200
PF3D7_0102900	PKNH_0210700
PF3D7_0103000	PKNH_0210600
PF3D7_0103200	PKNH_0210300
PF3D7_0103800	PKNH_0209700
PF3D7_0104400	PKNH_0209100
PF3D7_0104500	PKNH_0209000
PF3D7_0104700	PKNH_0208800
PF3D7_0104800	PKNH_0208700
PF3D7_0105100	PKNH_0208600
PF3D7_0105200	PKNH_0208500
PF3D7_0105300	PKNH_0208400
PF3D7_0105500	PKNH_0208200
PF3D7_0105800	PKNH_0207700
PF3D7_0106100	PKNH_0207400
PF3D7_0106200	PKNH_0207300
PF3D7_0106400	PKNH_0207100
PF3D7_0106800	PKNH_0206700
PF3D7_0107000	PKNH_0206500
PF3D7_0107200	PKNH_0206300
PF3D7_0107400	PKNH_0206200
PF3D7_0107500	PKNH_0206100
PF3D7_0107900	PKNH_0205700
PF3D7_0108000	PKNH_0205600
PF3D7_0108100	PKNH_0205500
PF3D7_0108600	PKNH_0205100
PF3D7_0108800	PKNH_0204900
PF3D7_0109000	PKNH_0204800
PF3D7_0109100	PKNH_0204700
PF3D7_0109200	PKNH_0204600
PF3D7_0109300	PKNH_0204500
PF3D7_0109400	PKNH_0204400
PF3D7_0109500	PKNH_0204300
PF3D7_0109600	PKNH_0204200
PF3D7_0109700	PKNH_0204100
PF3D7_0109800	PKNH_0204000
PF3D7_0109950	PKNH_0203850
PF3D7_0110200	PKNH_0203600
PF3D7_0110400	PKNH_0203500
PF3D7_0110700	PKNH_0203200
PF3D7_0110800	PKNH_0203100
PF3D7_0110900	PKNH_0202600
PF3D7_0111000	PKNH_0202500
PF3D7_0111200	PKNH_0202400
PF3D7_0111300	PKNH_0202300
PF3D7_0111500	PKNH_0202100
PF3D7_0111600	PKNH_0202000
PF3D7_0111700	PKNH_0201900
PF3D7_0111800	PKNH_0201800
PF3D7_0111900	PKNH_0201700
PF3D7_0112000	PKNH_0201600
PF3D7_0113700	PKNH_0407900
PF3D7_0201800	PKNH_0407900
PF3D7_0201800	PKNH_1246700
PF3D7_0202500	PKNH_0418600
PF3D7_0202700	PKNH_0418400
PF3D7_0202800	PKNH_0418300
PF3D7_0202900	PKNH_0418200
PF3D7_0203300	PKNH_0417800
PF3D7_0203400	PKNH_0417700
PF3D7_0203800	PKNH_0417300
PF3D7_0204200	PKNH_0416900
PF3D7_0204400	PKNH_0416500
PF3D7_0204500	PKNH_0416400
PF3D7_0204700	PKNH_0416200
PF3D7_0204800	PKNH_0416100
PF3D7_0204900	PKNH_0416000
PF3D7_0205200	PKNH_0415700
PF3D7_0205400	PKNH_0415500
PF3D7_0205500	PKNH_0415400
PF3D7_0205600	PKNH_0415300
PF3D7_0205800	PKNH_0415100
PF3D7_0205900	PKNH_0415000
PF3D7_0206100	PKNH_0414800
PF3D7_0206200	PKNH_0414700
PF3D7_0206600	PKNH_0414400
PF3D7_0206700	PKNH_0414300
PF3D7_0207200	PKNH_0413900
PF3D7_0207300	PKNH_0413800
PF3D7_0207400	PKNH_0413600
PF3D7_0207600	PKNH_0413600
PF3D7_0207600	PKNH_0413200
PF3D7_0207600	PKNH_0413400
PF3D7_0207600	PKNH_0413700
PF3D7_0208000	PKNH_0413400
PF3D7_0208200	PKNH_0412900
PF3D7_0208500	PKNH_0412600
PF3D7_0208700	PKNH_0412400
PF3D7_0208900	PKNH_0412200
PF3D7_0209100	PKNH_0412000
PF3D7_0209200	PKNH_0411900
PF3D7_0209300	PKNH_0411800
PF3D7_0209400	PKNH_0411700
PF3D7_0209700	PKNH_0411400
PF3D7_0209800	PKNH_0411300
PF3D7_0210000	PKNH_0411200
PF3D7_0210100	PKNH_0411100
PF3D7_0210300	PKNH_0410900
PF3D7_0210400	PKNH_0410800
PF3D7_0210600	PKNH_0410600
PF3D7_0210700	PKNH_0410500
PF3D7_0210900	PKNH_0410300
PF3D7_0211100	PKNH_0410200
PF3D7_0211200	PKNH_0410100
PF3D7_0211300	PKNH_0410000
PF3D7_0211400	PKNH_0409900
PF3D7_0211600	PKNH_0409600
PF3D7_0211800	PKNH_0409400
PF3D7_0212000	PKNH_0409200
PF3D7_0212200	PKNH_0409000
PF3D7_0212300	PKNH_0408900
PF3D7_0212600	PKNH_0408600
PF3D7_0212900	PKNH_0408300
PF3D7_0213000	PKNH_0408000
PF3D7_0213100	PKNH_0407900
PF3D7_0213200	PKNH_0407800
PF3D7_0213300	PKNH_0407700
PF3D7_0213400	PKNH_0407600
PF3D7_0213700	PKNH_0407300
PF3D7_0214000	PKNH_0406800
PF3D7_0214100	PKNH_0406700
PF3D7_0214200	PKNH_0406600
PF3D7_0214700	PKNH_0406100
PF3D7_0215100	PKNH_0405700
PF3D7_0215200	PKNH_0405600
PF3D7_0215300	PKNH_0405800
PF3D7_0215700	PKNH_0405200
PF3D7_0215800	PKNH_0405100
PF3D7_0215900	PKNH_0405000
PF3D7_0216400	PKNH_0404500
PF3D7_0216600	PKNH_0404300
PF3D7_0217100	PKNH_0403800
PF3D7_0217300	PKNH_0403600
PF3D7_0217400	PKNH_0403500
PF3D7_0217500	PKNH_0403400
PF3D7_0217700	PKNH_0403200
PF3D7_0217800	PKNH_0403100
PF3D7_0217900	PKNH_0403000
PF3D7_0218000	PKNH_0402900
PF3D7_0218300	PKNH_0402600
PF3D7_0218400	PKNH_0402500
PF3D7_0218500	PKNH_0402400
PF3D7_0218700	PKNH_0402200
PF3D7_0219100	PKNH_0401800
PF3D7_0219200	PKNH_0401700
PF3D7_0219400	PKNH_0401500
PF3D7_0219500	PKNH_0401400
PF3D7_0219600	PKNH_0401300
PF3D7_0301000	PKNH_0405800
PF3D7_0301200	PKNH_0113200
PF3D7_0301900	PKNH_0840800
PF3D7_0302000	PKNH_0840700
PF3D7_0302100	PKNH_0840600
PF3D7_0302200	PKNH_1401300
PF3D7_0302600	PKNH_0840500
PF3D7_0302700	PKNH_0840400
PF3D7_0302800	PKNH_0840300
PF3D7_0302900	PKNH_0840200
PF3D7_0303000	PKNH_0840100
PF3D7_0303300	PKNH_0839800
PF3D7_0303400	PKNH_0839700
PF3D7_0303600	PKNH_0839500
PF3D7_0303700	PKNH_0839400
PF3D7_0303800	PKNH_0839300
PF3D7_0303900	PKNH_0839200
PF3D7_0304000	PKNH_0839100
PF3D7_0304100	PKNH_0839000
PF3D7_0304200	PKNH_0838900
PF3D7_0304400	PKNH_0838700
PF3D7_0304500	PKNH_0838600
PF3D7_0304900	PKNH_0838200
PF3D7_0305000	PKNH_0838100
PF3D7_0305300	PKNH_0837400
PF3D7_0305400	PKNH_0837300
PF3D7_0305600	PKNH_0837100
PF3D7_0305700	PKNH_0837000
PF3D7_0306000	PKNH_0836700
PF3D7_0306200	PKNH_0836500
PF3D7_0306300	PKNH_0836400
PF3D7_0306400	PKNH_0836300
PF3D7_0306500	PKNH_0836200
PF3D7_0306600	PKNH_0836100
PF3D7_0306700	PKNH_0836000
PF3D7_0306800	PKNH_0835900
PF3D7_0306900	PKNH_0835700
PF3D7_0307100	PKNH_0835600
PF3D7_0307200	PKNH_0835500
PF3D7_0307300	PKNH_0835400
PF3D7_0307400	PKNH_0835300
PF3D7_0307500	PKNH_0835200
PF3D7_0307800	PKNH_0834900
PF3D7_0308000	PKNH_0834700
PF3D7_0308200	PKNH_0834500
PF3D7_0308500	PKNH_0834200
PF3D7_0308600	PKNH_0834100
PF3D7_0308800	PKNH_0833900
PF3D7_0308900	PKNH_0833800
PF3D7_0309000	PKNH_0833700
PF3D7_0309100	PKNH_0833600
PF3D7_0309500	PKNH_0833200
PF3D7_0309600	PKNH_0833100
PF3D7_0309800	PKNH_0832900
PF3D7_0310000	PKNH_0832700
PF3D7_0310100	PKNH_0832600
PF3D7_0310500	PKNH_0832200
PF3D7_0310600	PKNH_0832100
PF3D7_0310700	PKNH_0832000
PF3D7_0310800	PKNH_0831900
PF3D7_0311000	PKNH_0831700
PF3D7_0311500	PKNH_0830900
PF3D7_0311600	PKNH_0830800
PF3D7_0311700	PKNH_0830700
PF3D7_0311800	PKNH_0830600
PF3D7_0312000	PKNH_0830400
PF3D7_0312300	PKNH_0830100
PF3D7_0312400	PKNH_0829800
PF3D7_0312800	PKNH_0829400
PF3D7_0313100	PKNH_0829100
PF3D7_0313200	PKNH_0829000
PF3D7_0313300	PKNH_0828900
PF3D7_0313600	PKNH_0828600
PF3D7_0313700	PKNH_0828500
PF3D7_0314000	PKNH_0828200
PF3D7_0314300	PKNH_0827800
PF3D7_0314400	PKNH_0827700
PF3D7_0314500	PKNH_0827600
PF3D7_0314600	PKNH_0827500
PF3D7_0315000	PKNH_0827100
PF3D7_0315100	PKNH_0827000
PF3D7_0315500	PKNH_0826600
PF3D7_0315700	PKNH_0826400
PF3D7_0316100	PKNH_0826000
PF3D7_0316500	PKNH_0825300
PF3D7_0316600	PKNH_0825200
PF3D7_0316700	PKNH_0825100
PF3D7_0316800	PKNH_0825000
PF3D7_0317000	PKNH_0824800
PF3D7_0317400	PKNH_0824400
PF3D7_0317600	PKNH_0824200
PF3D7_0317800	PKNH_0824000
PF3D7_0317900	PKNH_0823900
PF3D7_0318100	PKNH_0823700
PF3D7_0318400	PKNH_0823000
PF3D7_0318600	PKNH_0822800
PF3D7_0318800	PKNH_0822700
PF3D7_0318900	PKNH_0822600
PF3D7_0319100	PKNH_0822400
PF3D7_0319300	PKNH_0821900
PF3D7_0319400	PKNH_0821800
PF3D7_0319500	PKNH_0821700
PF3D7_0319600	PKNH_0821600
PF3D7_0319900	PKNH_0821300
PF3D7_0320000	PKNH_0821200
PF3D7_0320100	PKNH_0821100
PF3D7_0320200	PKNH_0821000
PF3D7_0320300	PKNH_0820900
PF3D7_0320500	PKNH_0820300
PF3D7_0320600	PKNH_0820200
PF3D7_0320700	PKNH_0820100
PF3D7_0320800	PKNH_0820000
PF3D7_0320900	PKNH_0819900
PF3D7_0321200	PKNH_0819600
PF3D7_0321400	PKNH_0819400
PF3D7_0321600	PKNH_0819200
PF3D7_0322000	PKNH_0818800
PF3D7_0322100	PKNH_0818700
PF3D7_0322500	PKNH_0818300
PF3D7_0322800	PKNH_0817600
PF3D7_0322900	PKNH_0817500
PF3D7_0323200	PKNH_0817200
PF3D7_0323500	PKNH_0816900
PF3D7_0323600	PKNH_0816800
PF3D7_0323700	PKNH_0816700
PF3D7_0401900	PKNH_0405800
PF3D7_0403100	PKNH_0300900
PF3D7_0403500	PKNH_0301300
PF3D7_0403700	PKNH_0301700
PF3D7_0404000	PKNH_0302000
PF3D7_0404200	PKNH_0302200
PF3D7_0404300	PKNH_0302300
PF3D7_0404400	PKNH_0302400
PF3D7_0405000	PKNH_0303100
PF3D7_0405100	PKNH_0303200
PF3D7_0405200	PKNH_0303300
PF3D7_0405500	PKNH_0303600
PF3D7_0405600	PKNH_0303700
PF3D7_0405800	PKNH_0303900
PF3D7_0406000	PKNH_0304100
PF3D7_0406100	PKNH_0304200
PF3D7_0406400	PKNH_0304400
PF3D7_0406600	PKNH_0304600
PF3D7_0406800	PKNH_0304800
PF3D7_0407000	PKNH_0305000
PF3D7_0407100	PKNH_0305100
PF3D7_0407200	PKNH_0305200
PF3D7_0407300	PKNH_0305300
PF3D7_0407500	PKNH_0305500
PF3D7_0408000	PKNH_0306000
PF3D7_0408300	PKNH_0306300
PF3D7_0408400	PKNH_0306400
PF3D7_0408500	PKNH_0306500
PF3D7_0408600	PKNH_0306600
PF3D7_0408700	PKNH_0306700
PF3D7_0408800	PKNH_0306800
PF3D7_0409100	PKNH_0307100
PF3D7_0409200	PKNH_0307200
PF3D7_0409400	PKNH_0307500
PF3D7_0409500	PKNH_0307600
PF3D7_0409700	PKNH_0307800
PF3D7_0409800	PKNH_0307900
PF3D7_0409900	PKNH_0308000
PF3D7_0410400	PKNH_0308500
PF3D7_0410500	PKNH_0308600
PF3D7_0410600	PKNH_0308700
PF3D7_0410700	PKNH_0308800
PF3D7_0411100	PKNH_0309200
PF3D7_0412000	PKNH_0310200
PF3D7_0412100	PKNH_0310300
PF3D7_0412200	PKNH_0310400
PF3D7_0413500	PKNH_0505100
PF3D7_0413600	PKNH_0505200
PF3D7_0413700	PKNH_0505300
PF3D7_0413800	PKNH_0505400
PF3D7_0413900	PKNH_0505500
PF3D7_0414000	PKNH_0505600
PF3D7_0414100	PKNH_0505700
PF3D7_0414300	PKNH_0505900
PF3D7_0414500	PKNH_0506100
PF3D7_0414600	PKNH_0506200
PF3D7_0414700	PKNH_0506300
PF3D7_0414900	PKNH_0506500
PF3D7_0415000	PKNH_0506600
PF3D7_0415100	PKNH_0506700
PF3D7_0415400	PKNH_0507000
PF3D7_0415500	PKNH_0507100
PF3D7_0415600	PKNH_0507200
PF3D7_0415900	PKNH_0507500
PF3D7_0416200	PKNH_0508600
PF3D7_0416600	PKNH_0509000
PF3D7_0416700	PKNH_0509100
PF3D7_0416800	PKNH_0509200
PF3D7_0417100	PKNH_0509500
PF3D7_0417200	PKNH_0509600
PF3D7_0417300	PKNH_0509700
PF3D7_0417500	PKNH_0509900
PF3D7_0417600	PKNH_0510000
PF3D7_0417800	PKNH_0510200
PF3D7_0418200	PKNH_0510600
PF3D7_0418400	PKNH_0510800
PF3D7_0418500	PKNH_0510900
PF3D7_0418700	PKNH_0511400
PF3D7_0418800	PKNH_0511500
PF3D7_0419000	PKNH_0511700
PF3D7_0419200	PKNH_0511900
PF3D7_0419600	PKNH_0512300
PF3D7_0419800	PKNH_0512500
PF3D7_0420100	PKNH_0512800
PF3D7_0420200	PKNH_0513000
PF3D7_0420400	PKNH_0513200
PF3D7_0420500	PKNH_0513300
PF3D7_0422000	PKNH_0513800
PF3D7_0422100	PKNH_0513900
PF3D7_0422300	PKNH_0514200
PF3D7_0422300	PKNH_0701400
PF3D7_0422400	PKNH_0514300
PF3D7_0422600	PKNH_0514500
PF3D7_0422700	PKNH_0514600
PF3D7_0422800	PKNH_0514700
PF3D7_0422900	PKNH_0514800
PF3D7_0423100	PKNH_0515000
PF3D7_0423200	PKNH_0515100
PF3D7_0423500	PKNH_0515400
PF3D7_0424500	PKNH_0113200
PF3D7_0500900	PKNH_0113200
PF3D7_0501500	PKNH_1032300
PF3D7_0501700	PKNH_1032200
PF3D7_0501900	PKNH_1032000
PF3D7_0502100	PKNH_1031800
PF3D7_0502200	PKNH_1031700
PF3D7_0502400	PKNH_1031500
PF3D7_0502700	PKNH_1031200
PF3D7_0502800	PKNH_1031100
PF3D7_0502900	PKNH_1031000
PF3D7_0503000	PKNH_1030900
PF3D7_0503100	PKNH_1030800
PF3D7_0503200	PKNH_1030700
PF3D7_0503300	PKNH_1030300
PF3D7_0503400	PKNH_1030200
PF3D7_0503600	PKNH_1029900
PF3D7_0503800	PKNH_1029800
PF3D7_0504100	PKNH_1029500
PF3D7_0504200	PKNH_1029400
PF3D7_0504300	PKNH_1029300
PF3D7_0504400	PKNH_1029200
PF3D7_0504500	PKNH_1029100
PF3D7_0504600	PKNH_1029000
PF3D7_0504900	PKNH_1028700
PF3D7_0505200	PKNH_1028400
PF3D7_0505400	PKNH_1028200
PF3D7_0505500	PKNH_1028100
PF3D7_0505600	PKNH_1028000
PF3D7_0505800	PKNH_1027800
PF3D7_0505900	PKNH_1027700
PF3D7_0506100	PKNH_1027500
PF3D7_0506200	PKNH_1027400
PF3D7_0506900	PKNH_1026700
PF3D7_0507000	PKNH_1026600
PF3D7_0507100	PKNH_1026500
PF3D7_0507500	PKNH_1026100
PF3D7_0507600	PKNH_1026000
PF3D7_0507700	PKNH_1025900
PF3D7_0507900	PKNH_1025700
PF3D7_0508000	PKNH_1025600
PF3D7_0508200	PKNH_1025400
PF3D7_0508300	PKNH_1025300
PF3D7_0508400	PKNH_1025200
PF3D7_0508600	PKNH_1025000
PF3D7_0508700	PKNH_1024900
PF3D7_0508800	PKNH_1024800
PF3D7_0509000	PKNH_1024600
PF3D7_0509200	PKNH_1024400
PF3D7_0509300	PKNH_1024300
PF3D7_0509500	PKNH_1024100
PF3D7_0509600	PKNH_1024000
PF3D7_0509800	PKNH_1023800
PF3D7_0509900	PKNH_1023700
PF3D7_0510200	PKNH_1023400
PF3D7_0510300	PKNH_1023300
PF3D7_0510400	PKNH_1023200
PF3D7_0510500	PKNH_1023100
PF3D7_0510800	PKNH_1022800
PF3D7_0511000	PKNH_1022600
PF3D7_0511100	PKNH_1022500
PF3D7_0511200	PKNH_1022400
PF3D7_0511700	PKNH_1021900
PF3D7_0511800	PKNH_1021800
PF3D7_0512000	PKNH_1021600
PF3D7_0512100	PKNH_1021500
PF3D7_0512200	PKNH_0111100
PF3D7_0512300	PKNH_1020900
PF3D7_0512600	PKNH_1020500
PF3D7_0512700	PKNH_1020400
PF3D7_0512900	PKNH_1020200
PF3D7_0513000	PKNH_1020100
PF3D7_0513100	PKNH_1020000
PF3D7_0513300	PKNH_1019800
PF3D7_0513400	PKNH_1019700
PF3D7_0513500	PKNH_1019600
PF3D7_0513600	PKNH_1019500
PF3D7_0513800	PKNH_1019300
PF3D7_0513900	PKNH_1019200
PF3D7_0514000	PKNH_1019100
PF3D7_0514500	PKNH_1018600
PF3D7_0514600	PKNH_1018500
PF3D7_0515200	PKNH_1020950
PF3D7_0515200	PKNH_1140450
PF3D7_0515200	PKNH_0946250
PF3D7_0515500	PKNH_1017700
PF3D7_0515700	PKNH_1017500
PF3D7_0515800	PKNH_1017400
PF3D7_0515900	PKNH_1017300
PF3D7_0516000	PKNH_1017200
PF3D7_0516200	PKNH_1017100
PF3D7_0516400	PKNH_1016900
PF3D7_0516500	PKNH_1016800
PF3D7_0516900	PKNH_1016400
PF3D7_0517000	PKNH_1016300
PF3D7_0517300	PKNH_1016000
PF3D7_0517500	PKNH_1015800
PF3D7_0517600	PKNH_1015700
PF3D7_0517700	PKNH_1015600
PF3D7_0517800	PKNH_1015500
PF3D7_0517900	PKNH_1015300
PF3D7_0518000	PKNH_1015200
PF3D7_0518200	PKNH_1015000
PF3D7_0518300	PKNH_1014900
PF3D7_0518400	PKNH_1014800
PF3D7_0518500	PKNH_1014700
PF3D7_0518800	PKNH_1014500
PF3D7_0518900	PKNH_1014400
PF3D7_0519000	PKNH_0820600
PF3D7_0519100	PKNH_1014000
PF3D7_0519200	PKNH_1013900
PF3D7_0519300	PKNH_1013800
PF3D7_0519400	PKNH_1013700
PF3D7_0519700	PKNH_1013400
PF3D7_0519800	PKNH_1013300
PF3D7_0519900	PKNH_1013200
PF3D7_0520000	PKNH_1013100
PF3D7_0520100	PKNH_1013000
PF3D7_0520200	PKNH_1012900
PF3D7_0520300	PKNH_1012800
PF3D7_0520400	PKNH_1012700
PF3D7_0520500	PKNH_1012600
PF3D7_0520600	PKNH_1012300
PF3D7_0520800	PKNH_1012100
PF3D7_0520900	PKNH_1012000
PF3D7_0521100	PKNH_1011800
PF3D7_0521200	PKNH_1011700
PF3D7_0521400	PKNH_1011500
PF3D7_0521500	PKNH_1011400
PF3D7_0521700	PKNH_1011200
PF3D7_0521800	PKNH_1011100
PF3D7_0522000	PKNH_1010900
PF3D7_0522100	PKNH_1010800
PF3D7_0522200	PKNH_1010700
PF3D7_0522300	PKNH_1010600
PF3D7_0522500	PKNH_1010400
PF3D7_0522600	PKNH_1010300
PF3D7_0522700	PKNH_1010200
PF3D7_0522800	PKNH_1010100
PF3D7_0523000	PKNH_1009900
PF3D7_0523100	PKNH_1009800
PF3D7_0523300	PKNH_1009600
PF3D7_0523400	PKNH_1009500
PF3D7_0523500	PKNH_1009400
PF3D7_0523600	PKNH_1009300
PF3D7_0523800	PKNH_1009100
PF3D7_0524000	PKNH_1008900
PF3D7_0524200	PKNH_1008700
PF3D7_0524400	PKNH_1008500
PF3D7_0524600	PKNH_1008300
PF3D7_0524700	PKNH_1008200
PF3D7_0524800	PKNH_1008100
PF3D7_0525100	PKNH_1007700
PF3D7_0525400	PKNH_1007400
PF3D7_0525600	PKNH_1007200
PF3D7_0525700	PKNH_1007100
PF3D7_0525800	PKNH_1007000
PF3D7_0525900	PKNH_1006900
PF3D7_0526300	PKNH_1006500
PF3D7_0526400	PKNH_1006400
PF3D7_0526700	PKNH_1006000
PF3D7_0526900	PKNH_1005800
PF3D7_0527000	PKNH_1005700
PF3D7_0527100	PKNH_1005600
PF3D7_0527200	PKNH_1005500
PF3D7_0527300	PKNH_1005400
PF3D7_0527500	PKNH_1005200
PF3D7_0527900	PKNH_1004800
PF3D7_0528000	PKNH_1004700
PF3D7_0528100	PKNH_1004600
PF3D7_0528200	PKNH_1004500
PF3D7_0528400	PKNH_1004300
PF3D7_0528500	PKNH_1004200
PF3D7_0528600	PKNH_1004100
PF3D7_0528700	PKNH_1004000
PF3D7_0528900	PKNH_1003800
PF3D7_0529000	PKNH_1003700
PF3D7_0529100	PKNH_1003600
PF3D7_0529300	PKNH_1003500
PF3D7_0529500	PKNH_1003300
PF3D7_0529900	PKNH_1002900
PF3D7_0530100	PKNH_1002600
PF3D7_0530200	PKNH_1002500
PF3D7_0530600	PKNH_1002100
PF3D7_0530750	PKNH_1001950
PF3D7_0530800	PKNH_1001900
PF3D7_0531000	PKNH_1001700
PF3D7_0531200	PKNH_1001500
PF3D7_0601600	PKNH_1118500
PF3D7_0602100	PKNH_1148600
PF3D7_0602200	PKNH_1148500
PF3D7_0602300	PKNH_1148400
PF3D7_0602400	PKNH_1148300
PF3D7_0602500	PKNH_1148200
PF3D7_0602600	PKNH_1148100
PF3D7_0603100	PKNH_1147600
PF3D7_0603200	PKNH_1147500
PF3D7_0603300	PKNH_1147400
PF3D7_0603500	PKNH_1147200
PF3D7_0603700	PKNH_1147000
PF3D7_0603800	PKNH_1146900
PF3D7_0603900	PKNH_1146800
PF3D7_0604200	PKNH_1146300
PF3D7_0604600	PKNH_1145900
PF3D7_0604700	PKNH_1145800
PF3D7_0604900	PKNH_1145600
PF3D7_0605000	PKNH_1145500
PF3D7_0605200	PKNH_1145300
PF3D7_0605300	PKNH_1145200
PF3D7_0605400	PKNH_1145100
PF3D7_0605700	PKNH_1144800
PF3D7_0605900	PKNH_1144300
PF3D7_0606100	PKNH_1144100
